no,type,status,summary,description
ISIS-3035,Improvement,Open,[Wish] Log Stacktrace alongside ERROR to Console,"I have an issue with a (kind of) swallowed exception. IsisInteraction.executeInternal stumbles over an
{code:java}
org.springframework.dao.IncorrectResultSizeDataAccessException: More than one result was returned from Query.getSingleResult(); nested exception is javax.persistence.NonUniqueResultException: More than one result was returned from Query.getSingleResult(){code}
The (Wicket) UI shows:
{code:java}
[object not found]: object not found (incorrect result size data access exception): More than one result was returned from Query.getSingleResult() 
{code}
Console shows:
{code:java}
2022-05-03 12:08:07.051 ERROR 22432 — [nio-8080-exec-4] o.a.i.c.i.s.IsisInteraction : failed to execute an interaction
{code}
 
I would prefer to have the stacktrace logged to console as well.

c.f. https://the-asf.slack.com/archives/CFC42LWBV/p1651573266998419"
ISIS-3034,Improvement,Closed,[Metamodel] Unify HiddenTypeFacet and HiddenObjectFacet,No reason to have 2 facets for the same purpose. Also prone to errors.
ISIS-3033,Improvement,Closed,[Wicket Viewer] Inconsistent Form Field Widths with Action Prompt,Seen with date-picker and select2.
ISIS-3032,Improvement,Closed,[Wicket Viewer] Consistent Placeholder Rendering (none) + (suppressed),Currently we define (none) as placeholder for missing/empty values and (suppressed) as placeholder for eg. password values. To allow consistent rendering we need to express a unique CSS class for styling these.
ISIS-3031,New Feature,Resolved,Provide mechanism for UserMementoRefiners to be honoured in integration tests.,
ISIS-3030,Bug,Open,Multiple level drop down List issue,"Here has a mulitiple level drop down list.   

 

 
{code:java}
    @Property(editing = Editing.ENABLED)
    @Getter
    @Setter
    private String tc1Name;    

      @Property(editing = Editing.ENABLED)
    @Getter
    @Setter
    private String tc2Name;    


      @Property(editing = Editing.ENABLED)
    @Getter
    @Setter
    private String tc3Name;    


      @Property(editing = Editing.ENABLED)
    @Getter
    @Setter
    private String tc4Name;    

public List<String> choices0Create() {
        List<Tc1Object> list = tc1ObjectRepo.findAll();
        List<String> nameList = list.stream().map(i -> i.getTechCapabL1Name()).
            distinct().collect(Collectors.toList());
        return nameList;
}    

public String default0Create() {
        return getTc1Name();
}    
public List<String> choices1Create(String tc1Name) {
        System.out.println(""tc1Name: "" + tc1Name);
        Tc1Object tc1 = tc1ObjectRepo.findByTechCapabL1Name(tc1Name);
        System.out.println(""tc1: "" + tc1);
        List<Tc2Object> list = tc2ObjectRepo.findByTc1Object(tc1);
        List<String> nameList = list.stream().map(i -> i.getTechCapabL2Name()).
           distinct().collect(Collectors.toList());
        return nameList;
}    

public String default1Create() {
        return getTc2Name();
    }    

public List<String> choices2Create(String tc2Name) {
        System.out.println(""tc2Name: "" + tc2Name);
        Tc2Object tc2 = tc2ObjectRepo.findByTechCapabL2Name(tc2Name);
        System.out.println(""tc2: "" + tc2);
        List<Tc3Object> list = tc3ObjectRepo.findByTc2Object(tc2);
        System.out.println(""tc list :"" + list);
        List<String> nameList = list.stream().map(i -> 
           i.getTechCapabL3Name()).distinct().
           collect(Collectors.toList());
        return nameList;
}    

public String default2Create() {
        return getTc3Name();
}    

public List<String> choices3Create(String tc3Name) {
        Tc3Object tc3 = tc3ObjectRepo.findByTechCapabL3Name(tc3Name);
        List<Tc4Object> list = tc4ObjectRepo.findByTc3Object(tc3);
        List<String> nameList = list.stream().map(i -> i.getTechCapabL4Name()).distinct().
            collect(Collectors.toList());
        return nameList;
}    
public String default3Create() {
        return getTc4Name();
}
    
@Action(semantics = SemanticsOf.NON_IDEMPOTENT)   
@ActionLayout(promptStyle = PromptStyle.DIALOG_MODAL)   
public CtlgObject create(
final String tc1Name, 
final String tc2Name, 
final String tc3Name, 
final String tc4Name,
            
final String baseTechName) 
{        
         setTc1Name(tc1Name);        
         setTc2Name(tc2Name);        
         setTc3Name(tc3Name);        
         setTc4Name(tc4Name);        
         return repositoryService.persist(new CtlgObject(tc1Name, 
tc2Name, tc3Name, tc4Name, baseTechName));

} {code}
 

 

-----------------

in  choices2Create(String tc2Name) function ,  value of tc2Name is equal  tc1Name ,it's equal  the first drop dwon list value ,not the second drop down list value ."
ISIS-3029,Bug,Open,"Schema ""isisextensionssecman"" does not exists","I use Postgresql .when I try ISIS secman extension ,find following issue :

 

Call: CREATE TABLE isisExtensionsSecman.ApplicationUserRoles (roleId BIGINT NOT NULL, userId BIGINT NOT NULL, PRIMARY KEY (roleId, userId))
Query: DataModifyQuery(sql=""CREATE TABLE isisExtensionsSecman.ApplicationUserRoles (roleId BIGINT NOT NULL, userId BIGINT NOT NULL, PRIMARY KEY (roleId, userId))"")
[EL Warning]: 2022-04-27 14:08:56.375--ServerSession(1942100755)--Exception [EclipseLink-4002] (Eclipse Persistence Services - 2.7.10.v20211216-fe64cd39c3): org.eclipse.persistence.exceptions.DatabaseException
Internal Exception: org.postgresql.util.PSQLException: Error schema""isisextensionssecman""  does not exits .

 

Anctullay I have  created isisextensionssecman in Postgresql Database . Seems it's cause by Postgres  names case sensitive issue .

 

when I change the configuration as following according to the document :

[https://isis.apache.org/security/2.0.0-M7/secman/setting-up.html#examples]

 

isis:

    persistence:

        schema:

              auto-create-schemas: abdb

It's still has  the issue , seems isisextensionssecman is hard coding in program .

 

 "
ISIS-3028,Bug,Closed,[Wicket Viewer] Scalar Value Validator might pass Wrapped Values to ObjectManager for Adoption,ObjectManager needs to handle cases where it gets asked to adopt an object that is already a ManagedObject.
ISIS-3027,Improvement,Closed,[Metamodel] Improved Warning Message for non-eagerly introspected Types,"e.g.
Introspecting class 'java.util.function.Supplier' of sort ABSTRACT, after the metamodel had been fully introspected and is now locked. One reason this can happen is if you are attempting to invoke an action through the WrapperFactory on a service class incorrectly annotated with Spring's @Service annotation instead of @DomainService."
ISIS-3026,Bug,Closed,[Wicket Viewer] CSS class generated for property name may clash with predefined ones,"E.g. property by then name 'placeholder' clashes with predefined CSS class 'placeholder', which messes up HTML rendering."
ISIS-3025,Improvement,Closed,[Wicket Viewer] Make link color a CSS var '--link-color',"Allow for simple application.css override like
{code:css}
:root {
  --link-color: steelblue;
  --link-color-hover: rgb(10, 70, 140);
}
{code}
"
ISIS-3024,Improvement,Closed,[Wicket Viewer] Add Form Label Decorator,"Form labels support the mandatory marker, should support colon suffix and may support ellipsification in the future.

Hence add a newform label specific decorator to viewer-commons."
ISIS-3023,Improvement,Closed,[Wicket Viewer] Max Width for Form Labels,"Current width ratio of form label vs form field is 30/100. Which on wider screens may cause a large amount of white space between label and field.

Idea is to cap label width at eg. max 220px or a rem equivalent."
ISIS-3022,Bug,Closed,[Wicket Viewer] Regression: entity link click no longer honors CTRL key down,"Open link in new browser tab, with CTRL key down click, no longer works on entity links."
ISIS-3021,Improvement,Closed,[Metamodel] Improved Validation Message for DomainServices when missing Namespace,Separate messages for either DomainService or DomainObject.
ISIS-3020,Improvement,Closed,[Programming Model] Support Multivariate Parameter Supporting Methods,Re-enable  v1 backward compatibility. Remove restrictions on validateNXxxx(...).
ISIS-3019,Bug,Closed,[Metamodel] @Domain.Exclude not working as a Method Veto Marker,"git clone [https://github.com/apache/isis-app-demo] .

git checkout main-SNAPSHOT

first regression: 

[https://github.com/apache/isis-app-demo/blob/main-SNAPSHOT/webapp/src/main/java/petclinic/webapp/application/services/homepage/HomePageViewModel_bookVisit.java#L47]

 

second regression:

[https://github.com/apache/isis-app-demo/blob/main-SNAPSHOT/webapp/src/main/java/petclinic/webapp/application/services/homepage/HomePageViewModel_bookVisit.java#L46]

- adding `@Domain.Exclude` as a workaround didn't work.

 "
ISIS-3018,Bug,Closed,[Duplicate] DataRowWkt is looking up DataRow by uuid and it causes NPE,"This is a hardly reproducible bug, and even more hard to fix it:

Every time DataRow is created, a new UUID is associated to it. DataRow is created by DataTableModel lazily. DataTableModel can be recreated by its memento, and of cource it is sometimes recreated during deserialization. 

DataRowWkt is a representation of DataRow connected by DataTableModel (or its memento), and UUID. But recreation of DataTableModel creates new UUID for rows, so DataRowWkt, after deserialization, can't find the DataRow object by the _original_ UUID. Clicking to the checkbox on the row of the wicket table this causes an NPE (datarow still null,  DataRowToggleWkt.getBindable(DataRow) can not call getSelectToggle()).

The origin of the bug is the invalid DataRow representation (the uuid), which is recreated  (a new one associated) every time, when DataTableModel serialized and deserialized.

My suggestion is to use the getBookmark of ManagedObject maybe in form of a String, and use this String to identify the DataRow instead of UUID.

This is more consistent method to identify the datarow. (If String is too brute force solution, it could be any of OidDto or UUID depending on the ManagedObject supports Bookmark)

So DataTableModel.lookupDataRow, and DataRowWkt should be changed as well.

 

Other solution, to save the UUIDs into the DataTableModel Memento, using the index somehow as the association base, and use them in the recreation.

 

It would be a good idea to protect DataRowToggleWkt from the null datarow value as well, or at least from the NPE caused by the unsuccessful row lookup.

 

 "
ISIS-3017,Improvement,Closed,[Wicket Viewer] WebRequestCycleForIsis does not display recognizable error.,"In WebRequestCycleForIsis onException there is a code:
{code:java}
val exceptionRecognizerService = getExceptionRecognizerService();
val recognizedIfAny = exceptionRecognizerService.recognize(ex);
if(recognizedIfAny.isPresent()) {
    return respondGracefully(cycle);
} {code}
So it recognizes the error, but does not display it.

 

Maybe

 
{code:java}
val exceptionRecognizerService = getExceptionRecognizerService();
val recognizedIfAny = exceptionRecognizerService.recognize(ex);
if(recognizedIfAny.isPresent()) {
    getMessageBroker().ifPresent(broker->{
        String msg = recognizedIfAny.get().toMessage(getCommonContext().getTranslationService());
        if (msg != null) {
            broker.addMessage(
                    msg);
        }
    });
    return respondGracefully(cycle);
}
 {code}
could work well."
ISIS-3016,Bug,Closed,[Wicket Viewer] JGrowlUtil does not escape multiline characters well.,"JGrowlUtil does not escape control chars (for example \n) in the string in escape method, so they are inserted directly, so resulting javascript code could have syntax error. "
ISIS-3015,Improvement,Open,"[Wicket Viewer] Property Edit via FormExecutorDefault, will not display Recoverable Exception","During property edit, FormExecutorDefault does not display database error, because it checks 
{code:java}
!formExecutorContext.isWithinInlinePrompt(){code}
 condition. 

It would be nice if ExceptionRecognizerService/ExceptionRecognizer could mark the exception in Recognition if:
 * The exception should be displayed as message in Action/Property/Inline edit.
 * This feature default to configuration

This protocol should be supported in FormExecutorDefault.

Anyway, the current protocol does not work at all, it forwards the exception, but does not display the error page neither due to the WebRequestCycleForIsis and the JGrowlUtil bug. "
ISIS-3014,Question,Open,Enum typed property value display is incorrect," 

In Isis enum values can have title (@Title) property to display user friendly.

For example:

 

 
{code:java}
public enum PublicationMode {
  jupyter_notebook(""Jupyter notebook""),
  jupyter_notebook_pdf_email(""Jupyter notebook PDF fájl levélhez""),
  site_json_data(""Hely JSON adata"");

  private final String title;

  PublicationMode(String title) {
    this.title = title;
  }

  @Title
  public String getTitle() {
    return title;
  }
} {code}
It works very well everywhere in Isis, except:

 

Wicket viewer uses StringPanel to display it (according to ValueChoicesSelect2PanelFactory).
 * It would be better to display it as ValueFallbackPanel instead of StringPanel. in view mode, ValueChoicesSelect2Panel works well in edit mode.
 * ValueFallbackPanel  should display ManagedObjects.titleOf(objectAdapter), overriding newTextFieldValueModel and return an overridden kind of TextFieldValueModel<String> for example (which is not possible now, because it is a final method). Other solution to create a good converter and facet."
ISIS-3013,Bug,Closed,[Wicket Viewer] ComponentHintKey can cause NPE,"There is two method to access key value in ComponentHintKey  according to the getKey() method: accessing the component directly if exists, or the componentProvider.  But componentProvider is transient: after the serialization/deserialization cycle it can not be accessed, causing NullPointerException in getKey(). (Wicket viewer caches the page, so serialization is a must)

Solution: gain access to the component directly on serialization:

 
{code:java}
private void writeObject(ObjectOutputStream oos)
        throws IOException {
    if (componentProvider != null && component == null) {
        try {
            component = componentProvider.get();
        } catch (Exception ignored) {
// Maybe some log is necessary or throw the error
        }
    }
    oos.defaultWriteObject();
} {code}
 "
ISIS-3012,Bug,Closed,"[RO] Exception Handling depends on javax.jdo, which is not always provided","This JDO dependency in RO is just used for Exception recognition, but then when using JPA the javax.jdo Exception classes are never provided, which leads to a javax/jdo/JDOException class not found, triggered by any unrelated exception that passes through the RO Exception recognition code.

Fix is to add a new SPI for Exception Root cause finding, then decouple RO and JDO."
ISIS-3011,Improvement,Open,"[kroviz] Iterate Over menuBars Actions in Order to Find Out, Which Are (To Be) Disabled",See: https://the-asf.slack.com/archives/CFC42LWBV/p1650459541270369
ISIS-3010,Improvement,Closed,"[JDO] Add Support for JPA annotations, as DN allows these",
ISIS-3009,Bug,Closed,Entity change publishing in demo app seemingly broken.,"[https://demo-wicket.jdo.isis.incode.work/wicket/entity/demo.DomainObjectEntityChangePublishingEnabledEntity:2]

see attachment for animation

resulting in:
 * java.lang.RuntimeException
 * unrecoverable error: 'unexpected: owner is a mixin ManagedObject.SimpleManagedObject(specification=ObjectSpecificationDefault@44ec4a73[class=demoapp.dom.domain.objects.DomainObject.entityChangePublishing.DomainObjectEntityChangePublishingEntity_updatePropertyUsingAction,type=MIXIN,superclass=java.lang.Object], pojo=demoapp.dom.domain.objects.DomainObject.entityChangePublishing.DomainObjectEntityChangePublishingEntity_updatePropertyUsingAction@31703d6)'
 * org.apache.isis.commons.internal.exceptions._Exceptions#unrecoverableFormatted(_Exceptions.java:148)
 * org.apache.isis.core.metamodel.interactions.InteractionHead#of(InteractionHead.java:80)
 * org.apache.isis.core.metamodel.interactions.InteractionHead#regular(InteractionHead.java:56)
 * org.apache.isis.core.metamodel.spec.ManagedObjects$VisibilityUtil#createVisibleInteractionContext(ManagedObjects.java:866)
 * org.apache.isis.core.metamodel.spec.ManagedObjects$VisibilityUtil#isVisible(ManagedObjects.java:851)
 * org.apache.isis.core.runtimeservices.executor.MemberExecutorServiceDefault#filteredIfRequired(MemberExecutorServiceDefault.java:310)
 * org.apache.isis.core.runtimeservices.executor.MemberExecutorServiceDefault#invokeAction(MemberExecutorServiceDefault.java:185)
 * org.apache.isis.core.metamodel.facets.actions.action.invocation.ActionInvocationFacetForDomainEventAbstract#doInvoke(ActionInvocationFacetForDomainEventAbstract.java:131)
 * org.apache.isis.core.metamodel.facets.actions.action.invocation.ActionInvocationFacetForDomainEventAbstract#lambda$invoke$1(ActionInvocationFacetForDomainEventAbstract.java:99)
 * org.apache.isis.commons.functional.Try#call(Try.java:55)
 * org.apache.isis.core.runtimeservices.transaction.TransactionServiceSpring#callTransactional(TransactionServiceSpring.java:108)
 * org.apache.isis.applib.services.xactn.TransactionalProcessor#callWithinCurrentTransactionElseCreateNew(TransactionalProcessor.java:100)
 * org.apache.isis.core.metamodel.facets.actions.action.invocation.ActionInvocationFacetForDomainEventAbstract#invoke(ActionInvocationFacetForDomainEventAbstract.java:98)
 * org.apache.isis.core.metamodel.specloader.specimpl.ObjectActionDefault#executeInternal(ObjectActionDefault.java:421)
 * org.apache.isis.core.metamodel.specloader.specimpl.ObjectActionMixedIn#execute(ObjectActionMixedIn.java:162)
 * org.apache.isis.core.metamodel.specloader.specimpl.ObjectActionDefault#executeWithRuleChecking(ObjectActionDefault.java:389)
 * org.apache.isis.core.metamodel.interactions.managed.ManagedAction#invokeWithRuleChecking(ManagedAction.java:150)
 * org.apache.isis.core.metamodel.interactions.managed.ActionInteraction#invokeWithRuleChecking(ActionInteraction.java:157)
 * org.apache.isis.viewer.wicket.model.models.ActionModelImpl#executeActionAndReturnResult(ActionModelImpl.java:128)
 * org.apache.isis.viewer.wicket.ui.panels.FormExecutorDefault#lambda$executeAndProcessResults$6(FormExecutorDefault.java:134)
 * org.apache.isis.commons.functional.Either$Left#fold(Either.java:127)
 * org.apache.isis.viewer.wicket.ui.panels.FormExecutorDefault#executeAndProcessResults(FormExecutorDefault.java:133)
 * org.apache.isis.viewer.wicket.ui.panels.PromptFormAbstract#onOkSubmitted(PromptFormAbstract.java:121)
 * org.apache.isis.viewer.wicket.ui.util.Wkt$4#onSubmit(Wkt.java:241)
 * org.apache.wicket.ajax.markup.html.form.AjaxButton$1#onSubmit(AjaxButton.java:113)"
ISIS-3008,Bug,In Progress,[Wicket Viewer] Pending Parameter Glitches,"Changing (n-1)-th argument clears n-th argument.
(see attachment)"
ISIS-3007,Wish,Open,[Wish] Composite Value Types: flattened prompt (vs prompt within a prompt),"invoking an action that takes a composite value type, it's necessary to click in twice.  Can this be streamlined?

Ideally, I would like that the parameters are ""flattened"", so that there is only a single prompt.   If there is >1 parameter, then perhaps some sort of fieldset or border to show the parameters that make up the composite type.

See attachment.

 "
ISIS-3006,Improvement,Closed,[Wicket Viewer] Several UI Glitches,"as observed in [https://simpleapp.jdo-snapshot.isis.incode.work/wicket/entity/simple.SimpleObject:1]
h4. 2.0.0-M7.20220414-0303-2bfd2108.20220414-1723-82b15168

 

1. updateName action not aligned - WON'T FIX (always was that way: associated action group below property is slightly indented; I think makes sense for the human eye)

!image-2022-04-14-18-46-10-895.png|width=212,height=114!

2. Notes field is not full width... - FIXED

!image-2022-04-14-18-47-11-634.png|width=494,height=138!

... when click in, the prompt box is full width

 

!image-2022-04-14-18-48-11-094.png|width=496,height=83!

 

3. when click into the prompt for editing notes, the notes field does NOT have focus; requires a further click (or pressing tab) to gain focus. - FIXED

4. tabbing around, cannot tab to the notes field; so it's therefore only possible to activate using a mouse. - FIXED

!image-2022-04-14-18-50-44-741.png|width=448,height=186!

^^^ press tab here does not give focus to the 'edit' button of the notes field

5. when run fixtures, the drop-down seems too narrow.  I think we used to use the entire width of the panel, which I still prefer.  But anyway, it is not the same width as the drop-down, so is inconsistent in and of itself.

!image-2022-04-14-18-52-57-553.png|width=370,height=176!

6. The parameters field has multiLine=10, but the UI here ^^^ only shows a couple of rows. - FIXED

7. (also present in M6) the menu drop down overlaps the menu bar, I find it ugly (used to be directly underneath) - FIXED

!image-2022-04-14-18-55-12-188.png|width=358,height=150!

 

 

 

 

 "
ISIS-3005,Bug,Closed,[Wicket Viewer] DataRowToggle might throw after issuing a Blob Download,See discussion https://the-asf.slack.com/archives/CFC42LWBV/p1649780318577199
ISIS-3004,Improvement,Closed,[Programming Model] Deprecate superfluous @DomainService.logicalTypeName,"DomainServices are managed by Spring. Use Spring Bean naming semantics only. 

The framework should not offer an alternative mechanism here, as this potentially just leads to confusion.

Note: DomainObjects are not managed by Spring, hence its perfectly justified to keep the @DomainObject.logicalTypeName."
ISIS-3003,Improvement,Closed,[Extensions] Reinstate Command Replay Service,Fix REST communication. Add 'real' tests if possible.
ISIS-3002,New Feature,Open,Bring in extensions/core/outbox-publisher (from incode-platform),"and then remove mappings entirely, cf ISIS-2999"
ISIS-3001,Improvement,Resolved,Move subdomains/excel to extensions/applib/excel,and then remove subdomains entirely (cf ISIS-2999)
ISIS-3000,Improvement,Closed,[RO] Relocate the RO client from mappings-restclient to isis-viewer-restfulobjects-client ,
ISIS-2999,Improvement,Resolved,Remove subdomains and mappings artifacts, ... these APIs aren't an area where our framework should be imposing any opinions on how to do.
ISIS-2998,Bug,Resolved,maven projects not being deployed at end.,"see for example [https://github.com/apache/maven-deploy-plugin/pull/1,] [https://github.com/apache/maven-plugins/pull/138] "
ISIS-2997,Improvement,Closed,[Applib] new Interface MetamodelListener for Convenience to listen on Metamodel Events,"Usage example ...
{code:java}
@Service
public class SeedService implements MetamodelListener {

    @Override
    public void onMetamodelLoaded() {
        // seed database entities
    }
}
{code}
"
